,date,home,home_score,away,away_score,winner
0,2015-11-13,Hawaii,87,Montana State,76,Hawaii
1,2015-11-13,Eastern Mich.,70,Vermont,50,Eastern Mich.
2,2015-11-13,Columbia,107,Kean,62,Columbia
3,2015-11-13,La.-Monroe,88,McMurry,43,La.-Monroe
4,2015-11-13,Yale,70,Fairfield,57,Yale
5,2015-11-13,North Dakota,99,Minn.-Morris,69,North Dakota
6,2015-11-13,Central Mich.,89,Jacksonville State,83,Central Mich.
7,2015-11-13,Army,93,Ferrum,54,Army
8,2015-11-13,Northern Iowa,68,Colorado,62,Northern Iowa
9,2015-11-13,Ole Miss,90,Northwestern State,76,Ole Miss
10,2015-11-13,Wright St.,77,South Dakota,69,Wright St.
11,2015-11-13,Penn State,76,Robert Morris,75,Penn State
12,2015-11-13,Sacred Heart,76,Quinnipiac,64,Sacred Heart
13,2015-11-13,St. John's (NY),66,Wagner,57,St. John's (NY)
14,2015-11-13,Georgia Southern,73,Middle Ga. St.,54,Georgia Southern
15,2015-11-13,Clemson,74,N.C. Central,40,Clemson
16,2015-11-13,Rutgers,72,Rutgers,59,Rutgers
17,2015-11-13,Duke,92,Siena,74,Duke
18,2015-11-13,UNC Wilmington,100,Milligan,62,UNC Wilmington
19,2015-11-13,Michigan State,82,Fla. Atlantic,55,Michigan State
20,2015-11-13,Dayton,84,Southeast Mo. St.,53,Dayton
21,2015-11-13,Liberty,64,Covenant,62,Liberty
22,2015-11-13,Duquesne,96,Seton Hill,71,Duquesne
23,2015-11-13,FIU,71,Trinity Baptist,39,FIU
24,2015-11-13,Villanova,91,Fairleigh Dickinson,54,Villanova
25,2015-11-13,Furman,63,Presbyterian,53,Furman
26,2015-11-13,Maryland-Eastern Shore,80,Mt. St. Mary's,56,Maryland-Eastern Shore
27,2015-11-13,Purdue Fort Wayne,81,N.C. A&T,40,Purdue Fort Wayne
28,2015-11-13,Virginia Tech,107,Northern Ky.,61,Virginia Tech
29,2015-11-13,Richmond,75,James Madison,87,James Madison
30,2015-11-13,Abilene Christian,94,University of the Southwest,63,Abilene Christian
31,2015-11-13,Boston U.,84,Northeastern,87,Northeastern
32,2015-11-13,Miami (FL),86,UTRGV,59,Miami (FL)
33,2015-11-13,VCU,75,Prairie View A&M,50,VCU
34,2015-11-13,Old Dominion,67,Niagara,50,Old Dominion
35,2015-11-13,Kentucky,78,Albany,65,Kentucky
36,2015-11-13,Indiana State,88,Eastern Ill.,49,Indiana State
37,2015-11-13,Georgia Southern,90,Chattanooga,92,Chattanooga
38,2015-11-13,Eastern Ky.,107,Coppin St.,80,Eastern Ky.
39,2015-11-13,Cincinnati,97,Western Caro.,72,Cincinnati
40,2015-11-13,East Tennessee State,82,UNC Asheville,78,East Tennessee State
41,2015-11-13,Syracuse,57,Lehigh,47,Syracuse
42,2015-11-13,Washington State,85,Louisiana-Lafayette,76,Washington State
43,2015-11-13,Florida,103,Fla. Christian,71,Florida
44,2015-11-13,Bucknell,107,Shenandoah,61,Bucknell
45,2015-11-13,Louisville,86,Samford,45,Louisville
46,2015-11-13,Michigan State,70,Northern Mich.,44,Michigan State
47,2015-11-13,Xavier,81,Miami (OH),72,Xavier
48,2015-11-13,Charleston,74,South Carolina,54,Charleston
49,2015-11-13,Hofstra,96,Canisius,85,Hofstra
50,2015-11-13,North Carolina State,91,Temple,67,North Carolina State
51,2015-11-13,Seton Hall,84,Dartmouth,67,Seton Hall
52,2015-11-13,Indiana State,70,IUPUI,72,IUPUI
53,2015-11-13,Marist,64,Holy Cross,67,Holy Cross
54,2015-11-13,Virginia Tech,86,Morgan St.,48,Virginia Tech
55,2015-11-13,George Mason,53,Colgate,66,Colgate
56,2015-11-13,Rider,56,Princeton,64,Princeton
57,2015-11-13,Longwood,69,Randolph,49,Longwood
58,2015-11-13,New Mexico State,86,North Texas,57,New Mexico State
59,2015-11-13,Mercer,96,Allen,70,Mercer
60,2015-11-13,Maryland-Eastern Shore,71,East Tennessee State,86,East Tennessee State
61,2015-11-13,Louisiana Tech,95,Millsaps,33,Louisiana Tech
62,2015-11-13,New Hampshire,82,Lyndon St.,45,New Hampshire
63,2015-11-13,Arizona,63,Sacramento St.,66,Sacramento St.
64,2015-11-13,UConn,100,Maine,56,UConn
65,2015-11-13,Notre Dame,87,St. Francis (PA),56,Notre Dame
66,2015-11-13,Ga. Southern,116,Webber Int'l,49,Ga. Southern
67,2015-11-13,Denver,58,Milwaukee,71,Milwaukee
68,2015-11-13,Harvard,59,MIT,39,Harvard
69,2015-11-13,Morehead St.,87,Cincinnati,51,Morehead St.
70,2015-11-13,Central Arkansas,86,Southern U.,68,Central Arkansas
71,2015-11-13,Wake Forest,78,UMBC,73,Wake Forest
72,2015-11-13,Kansas,80,Md.-East. Shore,53,Kansas
73,2015-11-13,St. Bonaventure,63,Binghamton,53,St. Bonaventure
74,2015-11-13,Oklahoma State,91,UT Martin,57,Oklahoma State
75,2015-11-13,Southern Ill.,77,Air Force,75,Southern Ill.
76,2015-11-13,Rhode Island,65,American University,42,Rhode Island
77,2015-11-13,Illinois-Chicago,81,Florida,93,Florida
78,2015-11-13,Delaware State,56,Delaware State,62,Delaware State
79,2015-11-13,Saint Joseph's (PA),82,Drexel,81,Saint Joseph's (PA)
80,2015-11-13,Vanderbilt,80,Austin Peay,41,Vanderbilt
81,2015-11-13,Ill.-Chicago,75,San Francisco,78,San Francisco
82,2015-11-13,Drake,97,Simpson,52,Drake
83,2015-11-13,East Carolina,61,Grambling State,53,East Carolina
84,2015-11-13,Oral Roberts,80,Missouri,65,Oral Roberts
85,2015-11-13,Loyola (IL),76,UTSA,64,Loyola (IL)
86,2015-11-13,Central Conn. St.,83,Hartford,92,Hartford
87,2015-11-13,Lamar,101,Austin Peay,58,Lamar
88,2015-11-13,Northern Ill.,83,Cal St. Northridge,71,Northern Ill.
89,2015-11-13,Neb. Omaha,59,UC Santa Barbara,60,UC Santa Barbara
90,2015-11-13,Bradley,54,Ball St.,53,Bradley
91,2015-11-13,California Baptist,83,San Diego,45,California Baptist
92,2015-11-13,Bethune-Cookman,108,Trinity (FL),54,Bethune-Cookman
93,2015-11-13,Kansas,109,Northern Colo.,72,Kansas
94,2015-11-13,Northwestern State,79,Mass.-Lowell,57,Northwestern State
95,2015-11-13,North Carolina State,68,William & Mary,85,William & Mary
96,2015-11-13,Savannah St.,87,Fla. National,69,Savannah St.
97,2015-11-13,Wichita St.,88,Charleston,63,Wichita St.
98,2015-11-13,Murray St.,105,Harris-Stowe,55,Murray St.
99,2015-11-13,Louisiana Tech,108,Louisiana Col.,68,Louisiana Tech
100,2015-11-13,South Ala.,88,Aub.-Montgomery,68,South Ala.
101,2015-11-13,Chicago St.,137,IIT,59,Chicago St.
102,2015-11-13,Campbell,87,Montreat,42,Campbell
103,2015-11-13,Alabama State,77,Kennesaw St.,64,Alabama State
104,2015-11-13,Charlotte,74,Elon,85,Elon
105,2015-11-13,UC Davis,71,North Dakota,79,North Dakota
106,2015-11-13,St. Peter's,77,Brown,65,St. Peter's
107,2015-11-13,A&M-Corpus Chris,94,Our Lady Of The Lake,72,A&M-Corpus Chris
108,2015-11-13,Georgia Southern,116,Cornell,81,Georgia Southern
109,2015-11-13,North Texas,112,Jarvis Christian,82,North Texas
110,2015-11-13,South Fla.,77,Troy,82,Troy
111,2015-11-13,Valparaiso,78,IPFW,64,Valparaiso
112,2015-11-13,Washington State,82,Northern Ariz.,70,Washington State
113,2015-11-13,Wyoming,101,Bristol,62,Wyoming
114,2015-11-13,BYU,85,Utah Valley,54,BYU
115,2015-11-13,Stanford,93,Green Bay,89,Stanford
116,2015-11-13,Montana State,74,Boise St.,72,Montana State
117,2015-11-13,LSU,81,McNeese St.,70,LSU
118,2015-11-13,Wisconsin,67,Western Ill.,69,Western Ill.
119,2015-11-13,SIU Edwardsville,79,Central Arkansas,70,SIU Edwardsville
120,2015-11-13,Buffalo,109,Pitt.-Bradford,49,Buffalo
121,2015-11-13,Coastal Caro.,56,Nevada,73,Nevada
122,2015-11-13,Minnesota,76,UMKC,58,Minnesota
123,2015-11-13,Grand Canyon,82,Portland,72,Grand Canyon
124,2015-11-13,Weber St.,70,Utah Valley,73,Utah Valley
125,2015-11-13,Tulane,67,Alabama State,68,Alabama State
126,2015-11-13,North Texas,77,High Point,73,North Texas
127,2015-11-13,New Mexico State,91,Sam Houston State,69,New Mexico State
128,2015-11-13,Marquette,80,Belmont,83,Belmont
129,2015-11-13,Missouri,83,Wofford,74,Missouri
130,2015-11-13,Mississippi St.,106,Eastern Wash.,88,Mississippi St.
131,2015-11-13,Baylor,97,Stephen F. Austin,55,Baylor
132,2015-11-13,South Dakota,87,Chadron St.,52,South Dakota
133,2015-11-13,Incarnate Word,86,North Texas,65,Incarnate Word
134,2015-11-13,Northern Iowa,76,Gardner-Webb,59,Northern Iowa
135,2015-11-13,TCU,90,Southeastern La.,77,TCU
136,2015-11-13,Arizona,79,Pacific,61,Arizona
137,2015-11-13,North Texas,104,S.C. Upstate,64,North Texas
138,2015-11-13,Auburn,75,UAB,74,Auburn
139,2015-11-13,Navy,41,Florida,59,Florida
140,2015-11-13,UC Irvine,89,San Diego,73,UC Irvine
141,2015-11-13,Oregon,80,Jackson St.,52,Oregon
142,2015-11-13,Fresno St.,69,Pepperdine,66,Fresno St.
143,2015-11-13,Washington State,77,North Texas,71,Washington State
144,2015-11-13,Loyola Marymount,79,Cal St. Fullerton,74,Loyola Marymount
145,2015-11-13,San Diego,71,Illinois-Chicago,60,San Diego
146,2015-11-13,Santa Clara,63,Lipscomb,65,Lipscomb
147,2015-11-13,Portland,98,Oregon,81,Portland
148,2015-11-13,Idaho,78,Great Falls,72,Idaho
149,2015-11-13,UNLV,74,Cal Poly,72,UNLV
150,2015-11-13,Seattle,56,Ark.-Pine Bluff,58,Ark.-Pine Bluff
151,2015-11-13,Utah Valley,82,Utah Valley,71,Utah Valley
152,2015-11-13,St. Mary's (CA),80,San Fran. St.,56,St. Mary's (CA)
153,2015-11-13,UCLA,81,Monmouth,84,Monmouth
154,2015-11-13,California Baptist,97,Rice,65,California Baptist
155,2015-11-14,Massachusetts,85,Howard,79,Massachusetts
156,2015-11-14,UNI,78,Colorado,84,Colorado
157,2015-11-14,Georgetown,80,Radford,82,Radford
158,2015-11-14,Penn St.,62,VMI,50,Penn St.
159,2015-11-14,Ohio,85,FGCU,75,Ohio
160,2015-11-14,Bowling Green,79,New Orleans,61,Bowling Green
161,2015-11-14,Mid-Atlantic Christ.,26,Grambling State,85,Grambling State
162,2015-11-14,Appalachian St.,76,Jacksonville State,68,Appalachian St.
163,2015-11-14,Boston College,75,St. Francis (NY),49,Boston College
164,2015-11-14,Toledo,96,West Va. Tech,65,Toledo
165,2015-11-14,La Salle,78,Towson,76,La Salle
166,2015-11-14,Winthrop,102,Hampton,95,Winthrop
167,2015-11-14,UALR,76,Central Baptist,57,UALR
168,2015-11-14,East Tenn. St.,107,Averett,59,East Tenn. St.
169,2015-11-14,Northern Ill.,72,South Dakota,65,Northern Ill.
170,2015-11-14,Tulsa,98,Central Ark.,81,Tulsa
171,2015-11-14,UNC Greensboro,86,UNC Greensboro,69,UNC Greensboro
172,2015-11-14,UC Riverside,100,William Jessup,68,UC Riverside
173,2015-11-14,Wright St.,67,Cal St. Northridge,72,Cal St. Northridge
174,2015-11-14,South Carolina,84,Norfolk St.,69,South Carolina
175,2015-11-14,Stony Brook,103,Merchant Marine,32,Stony Brook
176,2015-11-14,Providence,76,Harvard,64,Providence
177,2015-11-14,Virginia Tech,82,Alabama State,85,Alabama State
178,2015-11-14,Kent St.,79,Youngstown St.,70,Kent St.
179,2015-11-14,Long Beach St.,91,Hawaii,57,Long Beach St.
180,2015-11-14,Liberty,90,Baptist Bible (PA),52,Liberty
181,2015-11-14,Montana State,90,Hawaii,85,Montana State
182,2015-11-14,Oregon,74,NW Christian,52,Oregon
183,2015-11-14,Butler,144,Citadel,71,Butler
184,2015-11-14,Davidson,90,UCF,85,Davidson
185,2015-11-14,Nebraska-Omaha,97,Mississippi Val.,51,Nebraska-Omaha
186,2015-11-14,Memphis,67,Southern Miss,49,Memphis
187,2015-11-14,Duke,113,Bryant University,75,Duke
188,2015-11-14,SMU,85,Sam Houston State,50,SMU
189,2015-11-14,Kentucky,87,NJIT,57,Kentucky
190,2015-11-14,Loyola (IL),84,Eureka,51,Loyola (IL)
191,2015-11-14,Western Ky.,97,Campbell,77,Western Ky.
192,2015-11-14,North Texas,77,Fordham,72,North Texas
193,2015-11-14,East Tennessee State,110,Piedmont,72,East Tennessee State
194,2015-11-14,Lipscomb,65,Milwaukee,71,Milwaukee
195,2015-11-14,Akron,65,Cleveland St.,53,Akron
196,2015-11-14,DePaul,69,Western Mich.,63,DePaul
197,2015-11-14,Utah Valley,89,Great Falls,60,Utah Valley
198,2015-11-14,UTEP,96,Loyola (LA),49,UTEP
199,2015-11-14,Creighton,93,North Texas,70,Creighton
200,2015-11-14,Cal State Bakersfield,93,San Diego,69,Cal State Bakersfield
201,2015-11-14,San Jose St.,54,Idaho,74,Idaho
202,2015-11-14,Santa Clara,33,Denver,55,Denver
203,2015-11-15,Ohio,76,Mt. St. Mary's,54,Ohio
204,2015-11-15,Rutgers,82,Howard,70,Rutgers
205,2015-11-15,Bucknell,82,Wake Forest,90,Wake Forest
206,2015-11-15,Seton Hall,69,Wagner,59,Seton Hall
207,2015-11-15,Clemson,78,UTSA,45,Clemson
208,2015-11-15,Cincinnati,106,Robert Morris,44,Cincinnati
209,2015-11-15,Louisiana-Lafayette,87,St. Peter's,86,Louisiana-Lafayette
210,2015-11-15,Binghamton,60,Army,75,Army
211,2015-11-15,South Dakota,76,Cal St. Northridge,72,South Dakota
212,2015-11-15,Purdue Fort Wayne,107,Vermont,79,Purdue Fort Wayne
213,2015-11-15,Valparaiso,83,Iona,58,Valparaiso
214,2015-11-15,Illinois-Chicago,80,North Dakota,74,Illinois-Chicago
215,2015-11-15,Minnesota,67,La.-Monroe,56,Minnesota
216,2015-11-15,Florida,109,Nicholls St.,62,Florida
217,2015-11-15,Denver,82,Lipscomb,69,Denver
218,2015-11-15,Evansville,80,Southeast Mo. St.,65,Evansville
219,2015-11-15,Jacksonville State,81,Fort Valley St.,68,Jacksonville State
220,2015-11-15,Troy,97,Reinhardt,82,Troy
221,2015-11-15,Southern Ill.,81,Florida,51,Southern Ill.
222,2015-11-15,High Point,93,N.C. Wesleyan,69,High Point
223,2015-11-15,North Carolina State,92,Fairfield,65,North Carolina State
224,2015-11-15,Penn State,77,Central Conn. St.,61,Penn State
225,2015-11-15,Western Caro.,90,UNC Asheville,81,Western Caro.
226,2015-11-15,Northern Ill.,65,Wright St.,59,Northern Ill.
227,2015-11-15,Northern Iowa,103,Coppin St.,68,Northern Iowa
228,2015-11-15,Neb. Omaha,104,St. Mary's (MN),58,Neb. Omaha
229,2015-11-15,Richmond,108,Stetson,85,Richmond
230,2015-11-15,Saint Joseph's (PA),73,Niagara,62,Saint Joseph's (PA)
231,2015-11-15,Saint Louis,85,Hartford,68,Saint Louis
232,2015-11-15,Seattle,65,Sacramento St.,77,Sacramento St.
233,2015-11-15,Santa Clara,65,Milwaukee,71,Milwaukee
234,2015-11-15,Missouri,73,Md.-East. Shore,55,Missouri
235,2015-11-15,North Carolina State,88,South Ala.,70,North Carolina State
236,2015-11-15,Western Ill.,94,Hannibal-La Grange,57,Western Ill.
237,2015-11-15,Eastern Wash.,126,George Fox,64,Eastern Wash.
238,2015-11-15,Nevada,83,Montana State,62,Nevada
239,2015-11-15,UMKC,73,William Jewell,59,UMKC
240,2015-11-15,UC Davis,79,Portland,66,UC Davis
241,2015-11-15,Stanford,93,Charleston,59,Stanford
242,2015-11-15,Wisconsin,92,Siena,65,Wisconsin
243,2015-11-15,UC Irvine,77,Loyola Marymount,53,UC Irvine
244,2015-11-15,New Mexico State,74,New Mexico State,83,New Mexico State
245,2015-11-15,Hawaii,74,Coastal Caro.,63,Hawaii
246,2015-11-15,UCLA,88,Cal Poly,83,UCLA
247,2015-11-16,Long Beach St.,66,BYU,65,Long Beach St.
248,2015-11-16,Navy,58,Charleston,72,Charleston
249,2015-11-16,Detroit Mercy,88,Central St. (OH),65,Detroit Mercy
250,2015-11-16,FIU,67,Florida,51,FIU
251,2015-11-16,Savannah St.,59,Campbell,57,Savannah St.
252,2015-11-16,UNC Wilmington,78,Eastern Ky.,59,UNC Wilmington
253,2015-11-16,Boston U.,69,Albany,64,Boston U.
254,2015-11-16,Indiana State,102,Austin Peay,76,Indiana State
255,2015-11-16,Duquesne,95,New Orleans,75,Duquesne
256,2015-11-16,Old Dominion,77,Buffalo,58,Old Dominion
257,2015-11-16,Michigan State,88,Elon,68,Michigan State
258,2015-11-16,Yale,99,Sacred Heart,77,Yale
259,2015-11-16,Miami (FL),93,Louisiana Tech,77,Miami (FL)
260,2015-11-16,Presbyterian,74,S.C. Upstate,73,Presbyterian
261,2015-11-16,Chattanooga,94,Hiwassee,55,Chattanooga
262,2015-11-16,Florida,106,UTRGV,84,Florida
263,2015-11-16,VCU,92,Radford,74,VCU
264,2015-11-16,Indiana State,70,Wyoming,55,Indiana State
265,2015-11-16,South Carolina,113,Voorhees,69,South Carolina
266,2015-11-16,Virginia Tech,86,James Madison,73,Virginia Tech
267,2015-11-16,South Fla.,57,NJIT,60,NJIT
268,2015-11-16,Akron,100,Hiram,30,Akron
269,2015-11-16,Canisius,98,Lehigh,89,Canisius
270,2015-11-16,Colgate,98,Cornell,101,Cornell
271,2015-11-16,East Carolina,88,Charlotte,74,East Carolina
272,2015-11-16,Hofstra,96,Molloy,64,Hofstra
273,2015-11-16,Georgia Southern,69,East Tennessee State,67,Georgia Southern
274,2015-11-16,Ohio,75,East Tennessee State,67,Ohio
275,2015-11-16,Mercer,69,George Mason,60,Mercer
276,2015-11-16,Brown,71,Holy Cross,55,Brown
277,2015-11-16,Towson,69,Morgan St.,61,Towson
278,2015-11-16,St. John's (NY),75,UMBC,53,St. John's (NY)
279,2015-11-16,FGCU,85,North Texas,62,FGCU
280,2015-11-16,Ball St.,73,Eastern Ill.,56,Ball St.
281,2015-11-16,Fairleigh Dickinson,111,FDU-Florham,70,Fairleigh Dickinson
282,2015-11-16,Longwood,89,La Roche,65,Longwood
283,2015-11-16,UT Martin,79,Bethune-Cookman,86,Bethune-Cookman
284,2015-11-16,Washington State,73,Virginia Tech,68,Washington State
285,2015-11-16,IPFW,85,Manchester,53,IPFW
286,2015-11-16,Maryland-Eastern Shore,68,Long Island,71,Long Island
287,2015-11-16,South Carolina,84,Oral Roberts,66,South Carolina
288,2015-11-16,Northwestern State,97,LSU,99,LSU
289,2015-11-16,Florida,104,N.C. A&T,54,Florida
290,2015-11-16,North Texas,84,North Texas,49,North Texas
291,2015-11-16,N.C. Central,78,Allen,54,N.C. Central
292,2015-11-16,Incarnate Word,73,Schreiner,49,Incarnate Word
293,2015-11-16,South Dakota,85,Weber St.,68,South Dakota
294,2015-11-16,Sam Houston State,102,Crowley's Ridge,62,Sam Houston State
295,2015-11-16,Samford,94,Aub.-Montgomery,79,Samford
296,2015-11-16,North Texas,110,North Texas,61,North Texas
297,2015-11-16,North Texas,100,Southeastern La.,58,North Texas
298,2015-11-16,Northern Iowa,106,Chicago St.,64,Northern Iowa
299,2015-11-16,Oklahoma State,86,Ark.-Pine Bluff,72,Oklahoma State
300,2015-11-16,Mississippi St.,72,Southern U.,76,Southern U.
301,2015-11-16,Illinois-Chicago,67,Morehead St.,66,Illinois-Chicago
302,2015-11-16,Tulane,79,Drake,74,Tulane
303,2015-11-16,Ole Miss,82,Ga. Southern,72,Ole Miss
304,2015-11-16,Vanderbilt,98,Gardner-Webb,62,Vanderbilt
305,2015-11-16,Arizona,90,Bradley,60,Arizona
306,2015-11-16,Jacksonville State,96,Oakwood,60,Jacksonville State
307,2015-11-16,Central Arkansas,81,Lyon,37,Central Arkansas
308,2015-11-16,Air Force,80,East Tennessee State,70,Air Force
309,2015-11-16,LSU,91,Kennesaw St.,69,LSU
310,2015-11-16,Idaho,110,Dickinson State,85,Idaho
311,2015-11-16,Boise St.,101,Northern Ariz.,81,Boise St.
312,2015-11-16,UAB,72,Alabama State,70,UAB
313,2015-11-16,Kansas,81,Columbia,71,Kansas
314,2015-11-16,Marquette,75,IUPUI,71,Marquette
315,2015-11-16,Utah Valley,81,San Diego,76,Utah Valley
316,2015-11-16,Fresno St.,80,Lamar,72,Fresno St.
317,2015-11-16,San Jose St.,64,Montana State,61,San Jose St.
318,2015-11-16,Pepperdine,91,San Diego,49,Pepperdine
319,2015-11-16,California Baptist,101,Monmouth,90,California Baptist
320,2015-11-16,San Francisco,80,Rice,54,San Francisco
321,2015-11-16,UNLV,107,N.M. Highlands,45,UNLV
322,2015-11-16,California Baptist,85,UC Santa Barbara,67,California Baptist
323,2015-11-16,Arizona,83,Belmont,74,Arizona
324,2015-11-16,St. Mary's (CA),89,Manhattan,63,St. Mary's (CA)
325,2015-11-16,Portland,105,Pacific,60,Portland
326,2015-11-16,Oregon,74,Baylor,67,Oregon
327,2015-11-17,Hawaii,76,Nevada,75,Hawaii
328,2015-11-17,East Tenn. St.,103,Green Bay,90,East Tenn. St.
329,2015-11-17,UNI,70,Stephen F. Austin,60,UNI
330,2015-11-17,Rhode Island,55,Valparaiso,58,Valparaiso
331,2015-11-17,Dayton,80,Alabama State,48,Dayton
332,2015-11-17,Auburn,84,Colorado,91,Colorado
333,2015-11-17,Memphis,78,Oklahoma State,84,Oklahoma State
334,2015-11-17,Penn St.,68,DePaul,62,Penn St.
335,2015-11-17,Citadel,94,Stetson,93,Citadel
336,2015-11-17,Xavier,78,Missouri,66,Xavier
337,2015-11-17,Norfolk St.,78,Washington State,58,Norfolk St.
338,2015-11-17,St. Francis (NY),93,Mt. St. Vincent,67,St. Francis (NY)
339,2015-11-17,St. Francis (PA),103,Westminster (PA),72,St. Francis (PA)
340,2015-11-17,Northeastern,91,Wentworth,62,Northeastern
341,2015-11-17,UNC Greensboro,81,Chowan,60,UNC Greensboro
342,2015-11-17,La Salle,73,Rider,60,La Salle
343,2015-11-17,Marist,73,Dartmouth,63,Marist
344,2015-11-17,Miami (OH),68,Kenyon,47,Miami (OH)
345,2015-11-17,Ohio,82,Grambling State,55,Ohio
346,2015-11-17,Central Mich.,79,Alma,64,Central Mich.
347,2015-11-17,UConn,85,New Hampshire,66,UConn
348,2015-11-17,Appalachian St.,70,Furman,79,Furman
349,2015-11-17,Liberty,59,William & Mary,70,William & Mary
350,2015-11-17,Delaware State,54,Penn State,60,Penn State
351,2015-11-17,Syracuse,79,St. Bonaventure,66,Syracuse
352,2015-11-17,Pittsburgh,84,St. Joseph's (IN),43,Pittsburgh
353,2015-11-17,Notre Dame,86,Milwaukee,78,Notre Dame
354,2015-11-17,Northern Ky.,83,Tiffin,71,Northern Ky.
355,2015-11-17,Western Mich.,74,San Diego,62,Western Mich.
356,2015-11-17,Fordham,76,Queens (NY),57,Fordham
357,2015-11-17,Louisville,87,Hartford,52,Louisville
358,2015-11-17,Fla. Atlantic,72,Warner Southern,75,Warner Southern
359,2015-11-17,Winthrop,106,Truett-McConnell,78,Winthrop
360,2015-11-17,Harvard,63,Massachusetts,69,Massachusetts
361,2015-11-17,Cleveland St.,62,Malone,46,Cleveland St.
362,2015-11-17,Louisiana Tech,80,North Texas,68,Louisiana Tech
363,2015-11-17,VMI,88,Tusculum,76,VMI
364,2015-11-17,Duke,63,Kentucky,74,Kentucky
365,2015-11-17,Sam Houston State,114,St. Thomas (MN),92,Sam Houston State
366,2015-11-17,Lipscomb,96,Oakland,69,Lipscomb
367,2015-11-17,American University,48,Hampton,61,Hampton
368,2015-11-17,Creighton,103,UTSA,78,Creighton
369,2015-11-17,Wisconsin,78,North Dakota,64,Wisconsin
370,2015-11-17,Southern Miss,60,Jackson St.,78,Jackson St.
371,2015-11-17,Evansville,84,Marian (Ind.),59,Evansville
372,2015-11-17,McNeese St.,70,Louisiana Col.,73,Louisiana Col.
373,2015-11-17,Western Ill.,84,Ill.-Chicago,57,Western Ill.
374,2015-11-17,Tulsa,77,Wichita St.,67,Tulsa
375,2015-11-17,Murray St.,76,Middle Tenn.,65,Murray St.
376,2015-11-17,Neb. Omaha,95,UMKC,89,Neb. Omaha
377,2015-11-17,Abilene Christian,70,Howard,56,Abilene Christian
378,2015-11-17,Villanova,87,Nebraska-Omaha,63,Villanova
379,2015-11-17,Grand Canyon,88,Black Hills St.,72,Grand Canyon
380,2015-11-17,Maryland-Eastern Shore,75,Georgetown,71,Maryland-Eastern Shore
381,2015-11-17,Utah Valley,83,Adams St.,68,Utah Valley
382,2015-11-17,Florida,98,Jacksonville State,79,Florida
383,2015-11-17,Northern Colo.,85,Colo. Christian,70,Northern Colo.
384,2015-11-17,Cal State Bakersfield,68,Idaho,45,Cal State Bakersfield
385,2015-11-17,Oregon,93,Iona,73,Oregon
386,2015-11-17,Pacific,76,Cal St. Fullerton,77,Cal St. Fullerton
387,2015-11-17,Michigan State,79,Kansas,73,Michigan State
388,2015-11-18,Coppin St.,80,Goldey-Beacom,73,Coppin St.
389,2015-11-18,Eastern Wash.,76,Seattle,70,Eastern Wash.
390,2015-11-18,Cornell,76,Binghamton,59,Cornell
391,2015-11-18,UALR,95,Centenary (LA),49,UALR
392,2015-11-18,Vermont,83,Quinnipiac,70,Vermont
393,2015-11-18,Old Dominion,79,Morgan St.,48,Old Dominion
394,2015-11-18,North Carolina State,78,Wofford,58,North Carolina State
395,2015-11-18,Virginia Tech,71,Jacksonville State,62,Virginia Tech
396,2015-11-18,Drexel,66,High Point,75,High Point
397,2015-11-18,Saint Joseph's (PA),89,Buffalo,67,Saint Joseph's (PA)
398,2015-11-18,Radford,68,Catawba,60,Radford
399,2015-11-18,Purdue Fort Wayne,96,Incarnate Word,61,Purdue Fort Wayne
400,2015-11-18,Bryant University,82,Emerson,69,Bryant University
401,2015-11-18,UMBC,57,Maryland-Eastern Shore,76,Maryland-Eastern Shore
402,2015-11-18,Youngstown St.,78,Toledo,100,Toledo
403,2015-11-18,Fairleigh Dickinson,85,Army,96,Army
404,2015-11-18,Belmont,90,Western Ky.,85,Belmont
405,2015-11-18,Niagara,75,Brown,66,Niagara
406,2015-11-18,North Carolina State,79,IUPUI,56,North Carolina State
407,2015-11-18,Savannah St.,76,Central Arkansas,75,Savannah St.
408,2015-11-18,Bowling Green,50,Cincinnati,83,Cincinnati
409,2015-11-18,Providence,60,Illinois-Chicago,59,Providence
410,2015-11-18,Oakland,91,Eastern Mich.,81,Oakland
411,2015-11-18,Elon,84,Belmont,57,Elon
412,2015-11-18,UCF,60,UC Irvine,61,UC Irvine
413,2015-11-18,Florida,70,Thomas (GA),68,Florida
414,2015-11-18,Coastal Caro.,104,Grace Bible College,67,Coastal Caro.
415,2015-11-18,UNC Asheville,84,Mars Hill,51,UNC Asheville
416,2015-11-18,Wake Forest,82,Richmond,91,Richmond
417,2015-11-18,Robert Morris,76,Bucknell,81,Bucknell
418,2015-11-18,Florida,98,Edward Waters,69,Florida
419,2015-11-18,Mass.-Lowell,87,Sacred Heart,84,Mass.-Lowell
420,2015-11-18,N.C. A&T,87,Roanoke,94,Roanoke
421,2015-11-18,Presbyterian,116,Toccoa Falls,75,Presbyterian
422,2015-11-18,Charleston,97,Johnson & Wales (NC),65,Charleston
423,2015-11-18,Austin Peay,77,IPFW,80,IPFW
424,2015-11-18,East Tennessee State,72,Fisk,50,East Tennessee State
425,2015-11-18,Northwestern State,79,Fairfield,72,Northwestern State
426,2015-11-18,Valparaiso,78,Indiana State,40,Valparaiso
427,2015-11-18,North Dakota,69,Valley City St.,49,North Dakota
428,2015-11-18,Southern Ill.,72,Kent St.,69,Southern Ill.
